organization,lastknown_country,patents
"University of Maryland, Baltimore County",US,1
"Sirius Satellite Radio, Inc.",US,1
The United States of America as represented by the secretary of the United States National Aeronautics and Space Administration,US,1
Centre Nationale d'Etudes Spatiales (C.N.E.S.),FR,1
,US,1
Space Systems,US,1
"Gilat Satellite Networks, Ltd.",IL,1
SES Astra S.A.,LU,1
Dornier System GmbH,DE,1
"David Clark Company, Inc.",US,1
Klaus Kunkel,DE,1
Applied Defense Solutions,US,1
Sperry Rand Corporation,US,1
Textron Systems Corporation,US,1
"The Baron Company, Ltd.",BM,1
"Andrews Space, Inc.",US,1
The Boening Company,US,1
"União Brasileira de Educação e Assistência, Mantenedora da Pucrs",BR,1
"Brown & Root, Inc.",US,1
"SpaceDev, Inc.",US,1
GOOD VIBRATIONS ENGINEERING LTD.,CA,1
Airbus Operations SAS,FR,1
"Loral Federal Systems, Company",US,1
QUALCOMM Incorporated,US,1
"Tanner Research, Inc.",US,1
Zero-Gravity Corporation,US,1
International Business Machines Corporation,US,1
The B. F. Goodrich Company,US,1
"GEOOPTICS, INC.",US,1
Astro Aerospace,US,1
"Oceaneering International, Inc.",US,1
"USBI Booster Production Company, Inc.",US,1
AeroLas GmbH Aerostatische Lager-Lasertechnik,DE,1
British Aerospace PLC,GB,1
"Optical Coating Laboratory, Inc.",US,1
"Prosoft International, Inc.",US,1
"Bigelow Aerospace Division, LLC",US,1
"T.T.I. International, Inc.",US,1
Framatome Connectors International,FR,1
"M Group, Inc.",US,1
,US,1
"Teledyne Solutions, Inc.",US,1
Society Nationale Industrielle et Aerospatiale,FR,1
Ecliptic Enterprises Corporation,US,1
International Multi-Media Corporation,US,1
NeXolve Corp.,US,1
LFK-Lenkflugkoerpersysteme GmbH,DE,1
Calling Communications Corporation,US,1
,JP,1
United States of America,US,1
"JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.",US,1
SNU R&DB FOUNDATION,KR,1
"Vanguard Research, Inc.",US,1
"Aviation Dynamics, Corp",US,1
ACKTAR LTD.,IL,1
"General Nucleonics, Inc.",US,1
"SPACE BIO-LABORATORIES CO., LTD.",JP,1
Telefunken electronic GmbH,DE,1
Technion Research and Development Foundation Ltd.,IL,1
MBDA France,FR,1
The Planetary Society,US,1
"OMNI Consulting Solutions, LLC",US,1
BEIJING AEROSPACE WANDA HI-TECH LTD.,CN,1
VERT ROTORS UK LIMITED,GB,1
"Duksung Co., Ltd.",KR,1
OHB System AG,DE,1
"THREE BEES BRAIDING, LLC.",US,1
External Tanks Corporation,US,1
"MICROSOFT TECHNOLOGY LICENSING, LLC",US,1
MICROSPACE RAPID PTE LTD,SG,1
ADIR Et Cie,FR,1
The University of Sussex,GB,1
NATIONAL DEFENSE UNIVERSITY,TW,1
Rafael Advanced Defense Systems Ltd.,IL,1
Mainstream Engineering Corp.,US,1
Fraunhoer-Gesellschaft zur Forderung der Angewandten Forschung e.v.,DE,1
"Spacehab, Incorporated",US,1
"Phaser Telepropulsion, Inc.",US,1
AIRBUS GROUP SAS,FR,1
Deutsche Forschungs- und Versuchsanstalt fur Luft-und Raumfahrt e.V.,DE,1
Starsys Research Corporation,US,1
Telefunken Systemtechnik GmbH,DE,1
"ATC Technologies, LLC",US,1
Stryker Corporation,US,1
R.E.O.S.C. (Recherches et Etudes d'Optique et de Sciences Connexes),FR,1
,JP,1
,CH,1
GEDEX SYSTEMS INC.,CA,1
"Composite Particles, Inc.",US,1
GA Technologies Inc.,US,1
Schweizerische Eidgenossenschaft,CH,1
4Tech Inc.,US,1
"World Shelters, Inc.",US,1
"Environmental Robots, Inc.",US,1
"Loral Space & Communications, Ltd.",US,1
Beijing Institute of Spacecraft Environment Engineering,CN,1
